id,name,age,gender,alive,expected
1001,Ana Martinez,28,FEMALE,false,DEAD
1002,Laura Castro,1,FEMALE,true,UNDERAGE
1003,Ana Gonzalez,21,MALE,false,DEAD
1004,Mateo Rodriguez,54,MALE,false,DEAD
1005,Sofia Torres,42,MALE,true,VALID
1006,Mateo Castro,41,MALE,true,VALID
1007,Andres Ramirez,15,FEMALE,true,UNDERAGE
1008,Andres Ramirez,20,FEMALE,true,VALID
1009,Ana Castro,22,MALE,true,VALID
1010,Sofia Rodriguez,40,MALE,true,VALID
1011,Andres Ramirez,38,MALE,true,VALID
1012,Mateo Gonzalez,66,UNIDENTIFIED,true,VALID
1013,Camilo Castro,26,FEMALE,true,VALID
1014,Laura Martinez,45,UNIDENTIFIED,true,VALID
1015,Sofia Gonzalez,56,UNIDENTIFIED,true,VALID
1016,Laura Castro,71,FEMALE,true,VALID
1017,Ana Gonzalez,37,UNIDENTIFIED,true,VALID
1018,Sofia Rodriguez,44,FEMALE,true,VALID
1019,Laura Torres,20,FEMALE,false,DEAD
1020,Ana Ramirez,33,FEMALE,true,VALID
1021,Sofia Castro,36,UNIDENTIFIED,true,VALID
1022,Valentina Martinez,1,FEMALE,true,UNDERAGE
1023,Ana Martinez,7,FEMALE,true,UNDERAGE
1024,Mateo Castro,59,UNIDENTIFIED,true,VALID
1025,Mateo Martinez,29,MALE,false,DEAD
1026,Ana Rodriguez,26,MALE,true,VALID
1027,Luis Martinez,19,UNIDENTIFIED,true,VALID
1028,Mateo Gonzalez,16,MALE,true,UNDERAGE
1029,Luis Gonzalez,39,FEMALE,true,VALID
1030,Sofia Torres,33,FEMALE,true,VALID
1031,Sofia Martinez,26,UNIDENTIFIED,false,DEAD
1032,Valentina Gonzalez,65,UNIDENTIFIED,true,VALID
1033,Sofia Ramirez,75,FEMALE,true,VALID
1034,Andres Rodriguez,77,MALE,true,VALID
1035,Sofia Martinez,32,UNIDENTIFIED,true,VALID
1036,Laura Martinez,42,UNIDENTIFIED,true,VALID
1037,Ana Martinez,22,MALE,true,VALID
1038,Camilo Castro,50,UNIDENTIFIED,true,VALID
1039,Laura Castro,76,FEMALE,true,VALID
1040,Camilo Ramirez,6,FEMALE,true,UNDERAGE
1041,Luis Ramirez,44,MALE,false,DEAD
1042,Luis Martinez,50,MALE,true,VALID
1043,Andres Ramirez,6,MALE,true,UNDERAGE
1044,Mateo Rodriguez,62,FEMALE,true,VALID
1045,Mateo Torres,61,FEMALE,true,VALID
1046,Valentina Martinez,59,UNIDENTIFIED,true,VALID
1047,Sofia Gonzalez,41,MALE,false,DEAD
1048,Laura Torres,0,UNIDENTIFIED,true,UNDERAGE
1049,Luis Rodriguez,33,FEMALE,false,DEAD
1050,Mateo Gonzalez,76,FEMALE,true,VALID
1051,Andres Torres,64,MALE,false,DEAD
1052,Laura Martinez,42,UNIDENTIFIED,true,VALID
1053,Camilo Rodriguez,48,MALE,true,VALID
1054,Ana Rodriguez,29,FEMALE,false,DEAD
1055,Andres Gonzalez,72,MALE,true,VALID
1056,Mateo Castro,43,FEMALE,false,DEAD
1057,Laura Rodriguez,42,FEMALE,false,DEAD
1058,Camilo Gonzalez,40,UNIDENTIFIED,false,DEAD
1059,Ana Torres,60,FEMALE,true,VALID
1060,Laura Martinez,14,UNIDENTIFIED,true,UNDERAGE
1061,Camilo Rodriguez,31,FEMALE,true,VALID
1062,Laura Castro,26,UNIDENTIFIED,true,VALID
1063,Andres Rodriguez,11,MALE,true,UNDERAGE
1064,Camilo Rodriguez,51,UNIDENTIFIED,true,VALID
1065,Sofia Martinez,37,MALE,true,VALID
1066,Camilo Gonzalez,53,UNIDENTIFIED,true,VALID
1067,Laura Ramirez,52,UNIDENTIFIED,true,VALID
1068,Valentina Gonzalez,72,FEMALE,true,VALID
1069,Ana Torres,71,UNIDENTIFIED,true,VALID
1070,Mateo Castro,62,MALE,true,VALID
1071,Valentina Torres,49,MALE,true,VALID
1072,Laura Martinez,35,UNIDENTIFIED,true,VALID
1073,Mateo Castro,74,MALE,true,VALID
1074,Luis Martinez,7,MALE,true,UNDERAGE
1075,Andres Martinez,34,FEMALE,true,VALID
1076,Laura Castro,15,FEMALE,true,UNDERAGE
1077,Sofia Martinez,62,MALE,true,VALID
1078,Mateo Castro,1,FEMALE,true,UNDERAGE
1079,Andres Martinez,75,FEMALE,true,VALID
1080,Mateo Torres,3,MALE,true,UNDERAGE
1081,Valentina Rodriguez,57,UNIDENTIFIED,true,VALID
1082,Valentina Rodriguez,61,FEMALE,true,VALID
1083,Sofia Rodriguez,16,FEMALE,true,UNDERAGE
1084,Camilo Martinez,24,MALE,true,VALID
1085,Mateo Castro,62,MALE,false,DEAD
